ref_pos_x,ref_pos_y,height,anchor_id,range
8.0,1.3,0.7,0,-0.45312284940382064
8.0,1.3,0.7,0,-0.04110090010799894
8.0,1.3,0.7,0,8.61429406028173
8.0,1.3,0.7,0,0.6488613542972157
8.0,1.3,0.7,0,0.22747313234744482
8.0,1.3,0.7,0,0.12926332227433424
8.0,1.3,0.7,0,-0.28810232522644075
8.0,1.3,0.7,0,-1.3586086653107463
8.0,1.3,0.7,0,-0.04308446502226104
8.0,1.3,0.7,0,-0.6875323790562469
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.28698988240201473
8.0,1.3,0.7,0,-0.1369183385738877
8.0,1.3,0.7,0,-1.090990358847538
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.12218372761573448
8.0,1.3,0.7,0,23.261953778362713
8.0,1.3,0.7,0,0.6572330220000833
8.0,1.3,0.7,0,0.5996421465146202
